"","client","signaleringid","indicatorid","waarde","argument","naam","gewicht","eindresultaat","succes","toelichting","Datasource1","Interface1","Time","Year","Quarter","Month","MonthName","Week","WeekDay","DayMonth","DayYear","TimeJS","YearWeek","eindargumentatie","MS","Oncology","CV","PAH","signalering_eindresultaat"
"648","",673527,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-18 13:38:27,2014,1,1,"January","03","Saturday",18,18,1390052307.277,"2014.03","CSR","","","","Damage",6
"649","",673593,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-18 17:33:51,2014,1,1,"January","03","Saturday",18,18,1390066431.45,"2014.03","Other","","","","Damage",5
"651","",673632,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-18 21:21:05,2014,1,1,"January","03","Saturday",18,18,1390080065.983,"2014.03","CSR","","","","Damage",6
"652","",673654,505,100,"In-House","Janssen",1,5,"NULL","NULL","claim_history","RServe interface",2014-01-19 11:59:19,2014,1,1,"January","03","Sunday",19,19,1390132759.7,"2014.03","CSR","","","","Damage",5
"653","",673711,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-19 18:54:38,2014,1,1,"January","03","Sunday",19,19,1390157678.04,"2014.03","CSR","","","","Damage",5
"655","",673715,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-19 19:36:38,2014,1,1,"January","03","Sunday",19,19,1390160198.73,"2014.03","CSR","","","","Damage",110
"657","",673743,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-19 22:47:32,2014,1,1,"January","03","Sunday",19,19,1390171652.033,"2014.03","Other","","","","Damage",6
"659","",673764,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-20 09:13:08,2014,1,1,"January","03","Monday",20,20,1390209188.68,"2014.03","Submission","","","","Damage",6
"660","",673790,505,100,"In-House","Janssen",1,5,"NULL","NULL","R_model","RServe interface",2014-01-20 10:01:54,2014,1,1,"January","03","Monday",20,20,1390212114.817,"2014.03","CSR","","","","Damage",5
"662","",673827,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-20 11:59:43,2014,1,1,"January","03","Monday",20,20,1390219183.913,"2014.03","CSR","","","","Damage",10
"663","",673862,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-20 13:13:54,2014,1,1,"January","03","Monday",20,20,1390223634.187,"2014.03","CSR","","","","Damage",5
"665","",673897,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-20 14:54:20,2014,1,1,"January","03","Monday",20,20,1390229660.79,"2014.03","Other","","","","Damage",6
"668","",673975,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-20 16:55:56,2014,1,1,"January","03","Monday",20,20,1390236956.457,"2014.03","CSR","","","","Damage",7
"690","",675162,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-20 18:30:30,2014,1,1,"January","03","Monday",20,20,1390242630.803,"2014.03","CSR","","","","Damage",5
"693","",675288,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-21 11:25:00,2014,1,1,"January","04","Tuesday",21,21,1390303500.457,"2014.04","CSR","","","","Damage",41
"694","",675367,505,100,"Outsource","CRO1",1,5,"NULL","NULL","claim_history","RServe interface",2014-01-21 14:37:52,2014,1,1,"January","04","Tuesday",21,21,1390315072.997,"2014.04","CSR","","","","Damage",5
"696","",675392,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-21 15:26:00,2014,1,1,"January","04","Tuesday",21,21,1390317960.903,"2014.04","Other","","","","Damage",40
"699","",675393,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-21 15:27:11,2014,1,1,"January","04","Tuesday",21,21,1390318031.59,"2014.04","CSR","","","","Damage",210
"700","",675431,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-21 16:45:17,2014,1,1,"January","04","Tuesday",21,21,1390322717.62,"2014.04","CSR","","","","Damage",5
"728","",676610,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-21 17:58:10,2014,1,1,"January","04","Tuesday",21,21,1390327090.417,"2014.04","Other","","","","Damage",6
"731","",676659,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-21 21:17:19,2014,1,1,"January","04","Tuesday",21,21,1390339039.21,"2014.04","CSR","","","","Damage",111
"732","",676670,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-21 21:27:37,2014,1,1,"January","04","Tuesday",21,21,1390339657.867,"2014.04","CSR","","","","Damage",5
"742","",677434,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-22 17:15:51,2014,1,1,"January","04","Wednesday",22,22,1390410951.21,"2014.04","CSR","","","","Damage",5
"744","",677483,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-22 17:17:13,2014,1,1,"January","04","Wednesday",22,22,1390411033.637,"2014.04","CSR","","","","Damage",5
"754","",677951,505,100,"Outsource","CRO1",1,5,"NULL","NULL","claim_history","RServe interface",2014-01-22 21:43:22,2014,1,1,"January","04","Wednesday",22,22,1390427002.94,"2014.04","Submission","","","","Damage",5
