Client;signaleringid;indicatorid;waarde;argument;naam;gewicht;eindresultaat;succes;toelichting;Datasource1;Interface1;Time;Year;Quarter;Month;MonthName;Week;WeekDay;DayMonth;DayYear;TimeJS;YearWeek;eindargumentatie;MS;Oncology;CV;PAH;signalering_eindresultaat
236;658241;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_z;RServe interface;06.01.2014 12:33;2014;1;1;January;1;Monday;6;6;1389011592;2014.01;CSR;;;;Damage;105
237;658243;505;100;Outsourced;CRO 1;1;5;NULL;NULL;claim_history;RServe interface;06.01.2014 12:36;2014;1;1;January;1;Monday;6;6;1389011801;2014.01;CSR;;;;Damage;5
239;658350;505;100;Outsourced;CRO 1;1;5;NULL;NULL;claim_history;RServe interface;06.01.2014 15:24;2014;1;1;January;1;Monday;6;6;1389021848;2014.01;CSR;;;;Damage;105
241;658373;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;06.01.2014 16:18;2014;1;1;January;1;Monday;6;6;1389025089;2014.01;CSR;;;;Damage;6
242;658428;505;100;Outsourced;CRO 1;1;5;NULL;NULL;datasource_y;RServe interface;06.01.2014 17:45;2014;1;1;January;1;Monday;6;6;1389030358;2014.01;CSR;;;;Damage;5
244;658432;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;06.01.2014 18:02;2014;1;1;January;1;Monday;6;6;1389031348;2014.01;CSR;;;;Damage;6
245;658458;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_y;RServe interface;06.01.2014 19:26;2014;1;1;January;1;Monday;6;6;1389036393;2014.01;CSR;;;;Damage;5
247;658496;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;06.01.2014 22:15;2014;1;1;January;1;Monday;6;6;1389046507;2014.01;CSR;;;;Damage;6
277;659616;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;07.01.2014 10:33;2014;1;1;January;2;Tuesday;7;7;1389090808;2014.02;CSR;;;;Damage;105
318;660895;505;100;Outsourced;CRO 2;1;5;NULL;NULL;claim_history;RServe interface;07.01.2014 13:22;2014;1;1;January;2;Tuesday;7;7;1389100930;2014.02;CSR;;;;Damage;15
320;660908;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;07.01.2014 14:01;2014;1;1;January;2;Tuesday;7;7;1389103270;2014.02;CSR;;;;Damage;9
322;660946;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_z;RServe interface;07.01.2014 15:54;2014;1;1;January;2;Tuesday;7;7;1389110080;2014.02;CSR;;;;Damage;6
324;660953;505;100;In House;Jansen;1;5;NULL;NULL;claim_history;RServe interface;07.01.2014 16:07;2014;1;1;January;2;Tuesday;7;7;1389110872;2014.02;CSR;;;;Damage;105
325;660965;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;07.01.2014 16:24;2014;1;1;January;2;Tuesday;7;7;1389111868;2014.02;CSR;;;;Damage;5
328;660973;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;07.01.2014 16:37;2014;1;1;January;2;Tuesday;7;7;1389112636;2014.02;CSR;;;;Damage;44
340;661705;505;100;Outsourced;CRO 1;1;5;NULL;NULL;claim_history;RServe interface;07.01.2014 19:25;2014;1;1;January;2;Tuesday;7;7;1389122720;2014.02;CSR;;;;Damage;114
342;661770;505;100;Outsourced;CRO 1;1;5;NULL;NULL;datasource_x;RServe interface;07.01.2014 23:43;2014;1;1;January;2;Tuesday;7;7;1389138190;2014.02;Submission;;;;Damage;105
343;661889;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_y;RServe interface;08.01.2014 12:40;2014;1;1;January;2;Wednesday;8;8;1389184826;2014.02;CSR;;;;Damage;5
344;661899;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;08.01.2014 13:16;2014;1;1;January;2;Wednesday;8;8;1389186983;2014.02;CSR;;;;Damage;5
346;661922;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_z;RServe interface;08.01.2014 13:57;2014;1;1;January;2;Wednesday;8;8;1389189432;2014.02;CSR;;;;Damage;20
348;661960;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;08.01.2014 15:08;2014;1;1;January;2;Wednesday;8;8;1389193739;2014.02;CSR;;;;Damage;105
375;663767;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_z;RServe interface;09.01.2014 11:55;2014;1;1;January;2;Thursday;9;9;1389268552;2014.02;CSR;;;;Damage;24
377;663770;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;09.01.2014 12:11;2014;1;1;January;2;Thursday;9;9;1389269516;2014.02;CSR;;;;Damage;110
378;663813;505;100;Outsourced;CRO 1;1;5;NULL;NULL;datasource_y;RServe interface;09.01.2014 14:11;2014;1;1;January;2;Thursday;9;9;1389276673;2014.02;CSR;;;;Damage;5
379;663869;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;09.01.2014 16:00;2014;1;1;January;2;Thursday;9;9;1389283232;2014.02;CSR;;;;Damage;5
423;665502;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;09.01.2014 20:55;2014;1;1;January;2;Thursday;9;9;1389300922;2014.02;CSR;;;;Damage;5
425;665571;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_z;RServe interface;10.01.2014 10:18;2014;1;1;January;2;Friday;10;10;1389349122;2014.02;CSR;;;;Damage;14
426;665600;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_x;RServe interface;10.01.2014 11:46;2014;1;1;January;2;Friday;10;10;1389354397;2014.02;CSR;;;;Damage;5
427;665611;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;10.01.2014 12:46;2014;1;1;January;2;Friday;10;10;1389357977;2014.02;CSR;;;;Damage;5
429;665612;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;10.01.2014 12:48;2014;1;1;January;2;Friday;10;10;1389358133;2014.02;CSR;;;;Damage;6
432;665732;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;10.01.2014 17:00;2014;1;1;January;2;Friday;10;10;1389373209;2014.02;Submission;;;;Damage;106
435;665765;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;10.01.2014 17:01;2014;1;1;January;2;Friday;10;10;1389373283;2014.02;Other;;;;Damage;106
461;666678;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;11.01.2014 12:25;2014;1;1;January;2;Saturday;11;11;1389443115;2014.02;CSR;;;;Damage;110
463;666703;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;11.01.2014 13:26;2014;1;1;January;2;Saturday;11;11;1389446802;2014.02;CSR;;;;Damage;20
464;666767;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;11.01.2014 16:57;2014;1;1;January;2;Saturday;11;11;1389459473;2014.02;CSR;;;;Damage;5
466;666782;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;11.01.2014 17:43;2014;1;1;January;2;Saturday;11;11;1389462195;2014.02;CSR;;;;Damage;105
468;666823;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;11.01.2014 22:28;2014;1;1;January;2;Saturday;11;11;1389479309;2014.02;CSR;;;;Damage;105
470;666825;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;11.01.2014 23:02;2014;1;1;January;2;Saturday;11;11;1389481355;2014.02;CSR;;;;Damage;105
472;666887;505;100;Outsourced;CRO 1;1;5;NULL;NULL;datasource_x;RServe interface;12.01.2014 12:48;2014;1;1;January;2;Sunday;12;12;1389530909;2014.02;Submission;;;;Damage;105
473;667016;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_x;RServe interface;13.01.2014 09:41;2014;1;1;January;2;Monday;13;13;1389606061;2014.02;Submission;;;;Damage;5
475;667021;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;13.01.2014 09:51;2014;1;1;January;2;Monday;13;13;1389606708;2014.02;Other;;;;Damage;14
476;667041;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;13.01.2014 10:29;2014;1;1;January;2;Monday;13;13;1389608977;2014.02;CSR;;;;Damage;5
478;667142;505;100;In House;Jansen;1;5;NULL;NULL;R_model;RServe interface;13.01.2014 14:03;2014;1;1;January;2;Monday;13;13;1389621804;2014.02;CSR;;;;Damage;15
479;667157;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;13.01.2014 14:42;2014;1;1;January;2;Monday;13;13;1389624153;2014.02;Other;;;;Damage;5
504;668427;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;13.01.2014 17:37;2014;1;1;January;2;Monday;13;13;1389634659;2014.02;CSR;;;;Damage;6
507;668448;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;13.01.2014 18:53;2014;1;1;January;2;Monday;13;13;1389639210;2014.02;CSR;;;;Damage;111
509;668449;505;100;Outsourced;CRO 2;1;5;NULL;NULL;R_model;RServe interface;13.01.2014 18:54;2014;1;1;January;2;Monday;13;13;1389639265;2014.02;Other;;;;Damage;105
510;668465;505;100;In House;Jansen;1;5;NULL;NULL;R_model;RServe interface;13.01.2014 19:44;2014;1;1;January;2;Monday;13;13;1389642284;2014.02;CSR;;;;Damage;5
511;668485;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_y;RServe interface;13.01.2014 20:43;2014;1;1;January;2;Monday;13;13;1389645823;2014.02;CSR;;;;Damage;5
513;668523;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;13.01.2014 23:29;2014;1;1;January;2;Monday;13;13;1389655769;2014.02;CSR;;;;Damage;6
514;668531;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;14.01.2014 07:23;2014;1;1;January;3;Tuesday;14;14;1389684185;2014.03;Submission;;;;Damage;5
515;668573;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;14.01.2014 10:52;2014;1;1;January;3;Tuesday;14;14;1389696779;2014.03;Other;;;;Damage;5
516;668599;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;14.01.2014 12:28;2014;1;1;January;3;Tuesday;14;14;1389702486;2014.03;CSR;;;;Damage;5
517;668619;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_x;RServe interface;14.01.2014 13:16;2014;1;1;January;3;Tuesday;14;14;1389705374;2014.03;CSR;;;;Damage;5
518;668657;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;14.01.2014 14:49;2014;1;1;January;3;Tuesday;14;14;1389710953;2014.03;CSR;;;;Damage;5
519;668672;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;14.01.2014 15:32;2014;1;1;January;3;Tuesday;14;14;1389713555;2014.03;CSR;;;;Damage;5
522;668701;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;14.01.2014 16:06;2014;1;1;January;3;Tuesday;14;14;1389715591;2014.03;Other;;;;Damage;111
549;670046;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;15.01.2014 12:07;2014;1;1;January;3;Wednesday;15;15;1389787679;2014.03;CSR;;;;Damage;5
550;670175;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;15.01.2014 16:12;2014;1;1;January;3;Wednesday;15;15;1389802336;2014.03;Other;;;;Damage;5
551;670186;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;15.01.2014 16:35;2014;1;1;January;3;Wednesday;15;15;1389803718;2014.03;CSR;;;;Damage;5
552;670198;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;15.01.2014 16:48;2014;1;1;January;3;Wednesday;15;15;1389804535;2014.03;Other;;;;Damage;5
555;670368;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;15.01.2014 17:05;2014;1;1;January;3;Wednesday;15;15;1389805501;2014.03;CSR;;;;Damage;41
559;670439;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;15.01.2014 17:06;2014;1;1;January;3;Wednesday;15;15;1389805617;2014.03;CSR;;;;Damage;44
579;671091;505;100;In House;Jansen;1;5;NULL;NULL;claim_history;RServe interface;15.01.2014 20:38;2014;1;1;January;3;Wednesday;15;15;1389818303;2014.03;CSR;;;;Damage;5
582;671115;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_z;RServe interface;16.01.2014 00:19;2014;1;1;January;3;Thursday;16;16;1389831599;2014.03;CSR;;;;Damage;106
583;671228;505;100;In House;Jansen;1;5;NULL;NULL;R_model;RServe interface;16.01.2014 14:06;2014;1;1;January;3;Thursday;16;16;1389881183;2014.03;CSR;;;;Damage;5
586;671259;505;100;In House;Jansen;1;5;NULL;NULL;claim_history;RServe interface;16.01.2014 15:18;2014;1;1;January;3;Thursday;16;16;1389885534;2014.03;Other;;;;Damage;44
591;671277;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_y;RServe interface;16.01.2014 15:50;2014;1;1;January;3;Thursday;16;16;1389887425;2014.03;CSR;;;;Damage;212
613;672212;505;100;Outsourced;CRO 1;1;5;NULL;NULL;datasource_z;RServe interface;16.01.2014 18:18;2014;1;1;January;3;Thursday;16;16;1389896321;2014.03;CSR;;;;Damage;5
616;672434;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;17.01.2014 14:28;2014;1;1;January;3;Friday;17;17;1389968935;2014.03;Submission;;;;Damage;114
617;672441;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;17.01.2014 14:36;2014;1;1;January;3;Friday;17;17;1389969386;2014.03;CSR;;;;Damage;5
645;673427;505;100;In House;Jansen;1;5;NULL;NULL;R_model;RServe interface;17.01.2014 19:10;2014;1;1;January;3;Friday;17;17;1389985855;2014.03;Other;;;;Damage;41
646;673479;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;18.01.2014 10:54;2014;1;1;January;3;Saturday;18;18;1390042467;2014.03;Submission;;;;Damage;5
648;673527;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_x;RServe interface;18.01.2014 13:38;2014;1;1;January;3;Saturday;18;18;1390052307;2014.03;CSR;;;;Damage;6
649;673593;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;18.01.2014 17:33;2014;1;1;January;3;Saturday;18;18;1390066431;2014.03;Other;;;;Damage;5
651;673632;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;18.01.2014 21:21;2014;1;1;January;3;Saturday;18;18;1390080066;2014.03;CSR;;;;Damage;6
652;673654;505;100;In House;Jansen;1;5;NULL;NULL;claim_history;RServe interface;19.01.2014 11:59;2014;1;1;January;3;Sunday;19;19;1390132760;2014.03;CSR;;;;Damage;5
653;673711;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;19.01.2014 18:54;2014;1;1;January;3;Sunday;19;19;1390157678;2014.03;CSR;;;;Damage;5
655;673715;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;19.01.2014 19:36;2014;1;1;January;3;Sunday;19;19;1390160199;2014.03;CSR;;;;Damage;110
657;673743;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;19.01.2014 22:47;2014;1;1;January;3;Sunday;19;19;1390171652;2014.03;Other;;;;Damage;6
659;673764;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;20.01.2014 09:13;2014;1;1;January;3;Monday;20;20;1390209189;2014.03;Submission;;;;Damage;6
660;673790;505;100;In House;Jansen;1;5;NULL;NULL;R_model;RServe interface;20.01.2014 10:01;2014;1;1;January;3;Monday;20;20;1390212115;2014.03;CSR;;;;Damage;5
662;673827;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;20.01.2014 11:59;2014;1;1;January;3;Monday;20;20;1390219184;2014.03;CSR;;;;Damage;10
663;673862;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_z;RServe interface;20.01.2014 13:13;2014;1;1;January;3;Monday;20;20;1390223634;2014.03;CSR;;;;Damage;5
665;673897;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;20.01.2014 14:54;2014;1;1;January;3;Monday;20;20;1390229661;2014.03;Other;;;;Damage;6
668;673975;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;20.01.2014 16:55;2014;1;1;January;3;Monday;20;20;1390236956;2014.03;CSR;;;;Damage;7
690;675162;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;20.01.2014 18:30;2014;1;1;January;3;Monday;20;20;1390242631;2014.03;CSR;;;;Damage;5
693;675288;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;21.01.2014 11:25;2014;1;1;January;4;Tuesday;21;21;1390303500;2014.04;CSR;;;;Damage;41
694;675367;505;100;In House;Jansen;1;5;NULL;NULL;claim_history;RServe interface;21.01.2014 14:37;2014;1;1;January;4;Tuesday;21;21;1390315073;2014.04;CSR;;;;Damage;5
696;675392;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;21.01.2014 15:26;2014;1;1;January;4;Tuesday;21;21;1390317961;2014.04;Other;;;;Damage;40
699;675393;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;21.01.2014 15:27;2014;1;1;January;4;Tuesday;21;21;1390318032;2014.04;CSR;;;;Damage;210
700;675431;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;21.01.2014 16:45;2014;1;1;January;4;Tuesday;21;21;1390322718;2014.04;CSR;;;;Damage;5
728;676610;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;21.01.2014 17:58;2014;1;1;January;4;Tuesday;21;21;1390327090;2014.04;Other;;;;Damage;6
731;676659;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;21.01.2014 21:17;2014;1;1;January;4;Tuesday;21;21;1390339039;2014.04;CSR;;;;Damage;111
732;676670;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;21.01.2014 21:27;2014;1;1;January;4;Tuesday;21;21;1390339658;2014.04;CSR;;;;Damage;5
742;677434;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_y;RServe interface;22.01.2014 17:15;2014;1;1;January;4;Wednesday;22;22;1390410951;2014.04;CSR;;;;Damage;5
744;677483;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;22.01.2014 17:17;2014;1;1;January;4;Wednesday;22;22;1390411034;2014.04;CSR;;;;Damage;5
754;677951;505;100;Outsourced;CRO 1;1;5;NULL;NULL;claim_history;RServe interface;22.01.2014 21:43;2014;1;1;January;4;Wednesday;22;22;1390427003;2014.04;Submission;;;;Damage;5
756;677978;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;23.01.2014 08:25;2014;1;1;January;4;Thursday;23;23;1390465502;2014.04;CSR;;;;Damage;6
758;677990;505;100;In House;Jansen;1;5;NULL;NULL;R_model;RServe interface;23.01.2014 09:23;2014;1;1;January;4;Thursday;23;23;1390468992;2014.04;CSR;;;;Damage;14
760;677992;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_z;RServe interface;23.01.2014 09:28;2014;1;1;January;4;Thursday;23;23;1390469301;2014.04;Submission;;;;Damage;40
761;677993;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;23.01.2014 09:31;2014;1;1;January;4;Thursday;23;23;1390469486;2014.04;CSR;;;;Damage;5
763;678061;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;23.01.2014 12:36;2014;1;1;January;4;Thursday;23;23;1390480582;2014.04;CSR;;;;Damage;105
785;679220;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;23.01.2014 17:54;2014;1;1;January;4;Thursday;23;23;1390499699;2014.04;CSR;;;;Damage;111
786;679261;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_x;RServe interface;23.01.2014 20:45;2014;1;1;January;4;Thursday;23;23;1390509911;2014.04;Other;;;;Damage;5
788;679275;505;100;In House;Jansen;1;5;NULL;NULL;R_model;RServe interface;23.01.2014 21:56;2014;1;1;January;4;Thursday;23;23;1390514195;2014.04;CSR;;;;Damage;105
791;679301;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;24.01.2014 07:47;2014;1;1;January;4;Friday;24;24;1390549665;2014.04;Other;;;;Damage;111
793;679317;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_z;RServe interface;24.01.2014 10:01;2014;1;1;January;4;Friday;24;24;1390557718;2014.04;Other;;;;Damage;15
795;679377;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;24.01.2014 12:50;2014;1;1;January;4;Friday;24;24;1390567850;2014.04;Other;;;;Damage;14
799;679443;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;24.01.2014 14:53;2014;1;1;January;4;Friday;24;24;1390575219;2014.04;CSR;;;;Damage;80
823;680357;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_x;RServe interface;24.01.2014 18:18;2014;1;1;January;4;Friday;24;24;1390587508;2014.04;CSR;;;;Damage;110
826;680399;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;24.01.2014 21:29;2014;1;1;January;4;Friday;24;24;1390598967;2014.04;Other;;;;Damage;210
